PMID,Treatment,Diagnosis,Prevention,Mechanism,Transmission,Epidemic Forecasting,Case Report
32653511,1,0,0,0,0,0,0
32427104,0,0,1,0,0,1,0
32605414,0,0,1,0,0,0,0
33066278,1,0,0,1,0,0,0
32303609,1,0,0,1,0,0,0
32974036,0,0,1,0,0,0,0
32529409,0,0,1,0,0,0,0
32854414,0,0,1,0,0,0,0
32686571,0,0,1,0,0,0,0
33038592,1,1,0,0,0,0,0
33009284,1,1,0,0,0,0,0
32905055,0,0,1,0,0,0,0
33058948,1,0,0,1,0,0,0
32340900,0,0,1,0,0,0,0
32419524,1,0,0,0,0,0,0
32682788,1,1,1,1,0,0,0
32834600,0,0,1,0,0,1,0
32413736,1,0,0,0,0,0,0
32655019,1,0,0,0,0,0,0
32609622,0,0,1,0,0,0,0
33039295,0,0,1,0,0,0,0
32633327,1,1,0,1,0,0,0
32817232,0,1,0,0,0,0,0
32851612,0,0,1,0,0,0,0
32768467,1,1,0,0,0,0,0
32825763,0,1,0,0,0,0,0
32900417,0,0,1,0,0,0,0
32582741,0,0,1,0,0,0,0
32276501,0,0,1,0,0,0,0
33020069,1,0,0,0,0,0,0
33010487,0,0,1,0,0,0,0
33079448,1,1,0,0,0,0,0
32751841,0,1,0,1,0,0,0
32853469,1,0,0,1,0,0,0
32837601,1,0,0,0,0,0,0
33021869,0,0,1,0,0,0,0
32641394,0,0,1,0,0,0,0
32768938,1,1,0,0,0,0,0
32398402,0,0,1,0,0,0,0
32423791,0,0,0,0,0,0,1
32682453,1,1,0,0,0,0,0
32376612,0,0,1,0,0,0,0
32970745,0,0,1,0,0,0,0
32839091,0,0,1,0,0,0,0
32907635,1,0,0,0,0,0,0
32553873,1,1,0,0,0,0,0
32889236,1,0,0,0,0,0,0
32495323,1,0,1,0,0,0,0
32740371,1,1,0,0,0,0,0
32805629,0,0,1,0,0,0,0
32383284,0,0,0,0,0,0,1
32407719,1,1,0,0,0,0,0
32978173,0,0,1,0,0,0,0
32750114,0,0,1,0,0,0,0
32645644,1,1,0,0,0,0,0
32938609,0,0,1,0,0,0,0
32792417,1,0,0,0,0,0,0
32453483,0,0,0,0,0,0,1
