PMID,Treatment,Diagnosis,Prevention,Mechanism,Transmission,Epidemic Forecasting,Case Report
32519164,1,0,0,1,0,0,0
32691006,1,0,1,0,0,0,0
32858315,0,0,0,0,0,0,1
32985329,0,0,1,0,0,0,0
32812051,1,0,0,0,0,0,0
32926870,0,0,1,0,0,0,0
32611634,0,0,1,0,0,0,0
32207676,0,0,1,0,0,0,0
32563601,1,1,0,0,0,0,0
32778470,0,0,1,0,0,0,0
32861461,0,1,0,0,0,0,0
32960880,0,1,0,0,0,0,0
32648093,1,1,0,0,0,0,0
32505805,0,0,1,0,0,0,0
33748768,0,1,0,0,0,0,0
32576335,0,0,1,0,0,0,0
32879108,1,0,0,0,0,0,0
32054124,0,0,1,0,1,0,0
32019669,0,0,0,0,1,0,0
32837801,0,0,1,0,0,0,0
32815655,1,0,0,0,0,0,0
32300796,0,0,0,1,0,0,0
32554697,1,0,0,1,0,0,0
32773661,0,0,0,0,0,0,1
32944361,0,0,1,0,0,0,0
32661235,1,0,0,1,0,0,0
32869006,0,0,1,0,1,1,0
32651238,0,1,0,0,0,0,0
33002914,0,0,0,0,0,0,1
32950981,0,0,0,0,0,0,1
33002740,1,1,0,0,0,0,0
33019514,0,0,1,0,0,0,0
32863676,0,0,1,0,0,0,0
32405515,0,0,1,0,0,0,0
32693665,1,0,0,0,0,0,0
32900341,1,0,0,0,0,0,0
32962771,0,1,1,0,0,0,0
32991675,0,0,1,0,0,0,0
32767350,0,0,1,0,0,0,0
32247056,0,0,1,0,0,0,0
32586336,0,0,1,0,0,0,0
32450752,0,0,1,0,0,0,0
33023039,0,1,1,0,0,0,0
32570833,0,0,1,0,0,0,0
32659620,0,1,0,1,0,0,0
32600505,0,0,1,0,0,0,0
32809968,0,0,1,0,0,0,0
32943302,1,0,0,1,0,0,0
32387574,0,0,1,0,0,0,0
32587063,0,0,1,0,0,0,0
32352383,0,0,1,0,0,0,0
32867625,0,1,1,0,1,0,0
33019397,1,0,0,0,0,0,0
32347612,0,0,1,0,0,0,0
32757376,0,0,1,0,0,0,0
32373189,0,0,1,0,0,0,0
32843231,1,0,0,0,0,0,0
32292113,1,0,0,0,0,0,0
32728006,1,1,0,0,1,0,0
32816957,0,0,0,0,0,0,1
32060933,0,0,0,1,1,0,0
32905022,1,0,0,1,0,0,0
32289312,0,0,1,0,0,0,0
32419693,0,0,1,0,0,0,0
32851112,0,1,0,0,0,0,0
32364528,1,1,0,0,0,0,0
32875166,1,0,0,1,0,0,0
32991604,0,0,1,0,0,0,0
32407853,0,0,1,0,0,0,0
32775578,0,0,1,0,0,0,0
32979911,0,1,0,0,0,0,0
32571951,0,0,0,1,0,0,0
32292697,1,0,0,0,0,0,0
32727067,0,0,1,0,0,0,0
32470151,1,0,0,0,0,0,0
32527141,0,1,0,0,0,0,0
32930555,0,0,1,0,0,0,0
32807087,0,0,1,0,0,0,0
32300516,1,0,0,0,0,0,0
33010669,1,1,0,1,0,0,0
32589541,1,0,1,0,0,0,0
32316270,1,0,0,0,0,0,0
32410266,1,0,0,1,0,0,0
32866314,0,0,1,0,0,0,0
32920578,0,0,0,0,0,0,1
32504052,0,0,1,0,0,0,0
33029407,0,0,1,0,0,0,0
32844061,0,0,1,0,0,1,0
32905011,1,0,0,0,0,0,0
32202824,0,0,1,0,0,0,0
32571376,0,0,1,0,0,0,0
32998369,1,0,0,1,0,0,0
33036052,0,0,1,0,0,0,0
32274917,0,1,1,0,0,0,0
32510050,0,0,1,0,0,0,0
32563968,0,0,1,0,0,0,0
33040480,1,1,0,0,0,0,0
32420521,0,1,0,0,0,0,0
32578829,0,0,1,0,0,0,0
32824839,1,0,1,0,0,0,0
32654387,0,0,1,0,0,0,0
32974370,0,1,1,0,1,0,0
